5.460060385328511234e-01,8.950823934084857214e-01,1.712921447229271532e+00
5.528899804017941566e-01,9.647828949199515058e-01,1.484816002074150099e+00
5.708265939258322375e-01,9.922682086809576640e-01,1.719133346757144576e+00
4.578161587894065687e-01,1.342170904171234636e+00,1.895757382617074160e+00
5.540085612870976339e-01,8.450155489819081156e-01,1.569033667502496732e+00
5.832186120039027921e-01,7.077285528737101705e-01,1.246511367355652045e+00
4.689903674169720871e-01,9.026261811750863062e-01,1.749974035309446840e+00
4.652020976570546695e-01,1.139363693289661361e+00,1.941589197209630857e+00
5.522914475470678264e-01,8.516152327700644564e-01,1.815408767360410014e+00
4.977795059151469692e-01,1.191154709362397091e+00,1.788951278942362055e+00
4.468116714913245024e-01,1.137309027829350727e+00,2.234939885203012011e+00
4.921985326865593868e-01,7.644872839748012572e-01,1.900064230715158731e+00
4.889818682233693647e-01,1.332106805681520179e+00,1.929635285938657630e+00
5.430401945022609311e-01,8.458255474823216380e-01,1.295035724796707477e+00
5.185919371666104505e-01,9.500597105993268121e-01,1.705785964948797639e+00
4.642835634676170109e-01,1.062864635410399217e+00,1.890402820534677231e+00
4.460676395345773426e-01,1.134216125467234715e+00,1.929784753142995024e+00
5.181172898413084482e-01,1.528301723100296439e+00,1.681373117891200586e+00
5.225375857958609593e-01,1.193983644048748127e+00,1.906622405935375797e+00
5.071851852232089897e-01,1.050281171986481299e+00,1.794738261308551408e+00
4.861345476942552923e-01,9.802840317930375802e-01,1.803732193610018575e+00
4.724532824716249357e-01,9.987390780031613069e-01,2.067334283758825553e+00
5.294229391511539040e-01,8.759247241046966836e-01,1.608522836450367866e+00
4.512043957295758800e-01,1.127750926447213198e+00,1.968195169119365318e+00
4.184969683679402586e-01,1.865364899207802019e+00,2.090138026705601781e+00
4.629614117205513857e-01,1.759588927016756843e+00,1.655728642221340419e+00
5.086265122167668018e-01,1.124081745192331061e+00,1.735160120380911053e+00
5.508025724196212725e-01,8.866294568238086704e-01,1.603420893025987670e+00
4.821039630460140502e-01,9.847039796763829012e-01,1.893029548874915813e+00
4.817893983520122880e-01,1.365917041489956185e+00,1.663938129211927075e+00
4.859814970331092221e-01,1.565578907845474710e+00,1.744075148318607438e+00
4.966908593012922535e-01,7.214789757129840275e-01,1.749494875494227886e+00
4.336237191132566449e-01,1.711202024913661468e+00,1.830510506039612517e+00
4.741365369115734252e-01,1.208372141844022085e+00,1.967283220637105590e+00
4.958676993649268061e-01,8.780949495173158148e-01,1.825878223178398763e+00
5.148481762464125477e-01,1.009134516850273222e+00,1.684874831306913734e+00
5.242382327645690454e-01,7.606388648063709956e-01,1.714334498254375561e+00
4.897772888131494695e-01,8.256473624065834294e-01,1.735726235431320985e+00
4.717359503787035835e-01,8.644304636152119192e-01,1.879169170664374278e+00
4.758635244895237371e-01,7.934815432466427731e-01,1.801376446429332479e+00
5.050414146675001881e-01,5.906355564505303413e-01,1.727445343949586487e+00
5.062497112691228818e-01,1.107202893388249620e+00,1.868505626823307120e+00
5.041236486845555032e-01,9.827942804556701883e-01,2.001480513484067636e+00
4.828488931210170310e-01,1.044550655023875896e+00,1.579841708142614598e+00
5.081682224397922054e-01,1.100281218359771440e+00,1.440280035401017455e+00
4.593470828551836083e-01,1.230487401962478966e+00,2.169897067707118765e+00
4.905974214056090243e-01,8.183732382485792156e-01,1.795328082110015933e+00
4.652301299705909332e-01,9.602246559241675028e-01,1.926799569154395542e+00
4.758773354466443450e-01,1.060552313793363677e+00,1.860222031124975306e+00
5.131883772324207227e-01,8.919256824058833244e-01,1.804917476007071864e+00
